PID,PPID,State,ShortName,Name,IntegrityLevel,User,CreateTime,ExitTime,Wow64,EPROCESS,PEB,PEB32,DTB,UserDTB,UserPath,KernelPath,CommandLine
4,0,0,System,System,System,SYSTEM,"2024-12-20 15:40:59",,0,0xfffffa8018da1ae0,0x0,0x0,0x187000,0x0,"",System,""
224,4,0,smss.exe,smss.exe,System,SYSTEM,"2024-12-20 15:40:59",,0,0xfffffa8019561320,0x7fffffdf000,0x0,0x7a74c000,0x0,\SystemRoot\System32\smss.exe,\Device\HarddiskVolume2\Windows\System32\smss.exe,\SystemRoot\System32\smss.exe
316,300,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa8019a01b30,0x7fffffd3000,0x0,0x74838000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
324,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:01",,0,0xfffffa8019b27310,0x7fffffd5000,0x0,0x6a20c000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork"
368,300,0,wininit.exe,wininit.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a3dd620,0x7fffffdc000,0x0,0x7413e000,0x0,C:\Windows\system32\wininit.exe,\Device\HarddiskVolume2\Windows\System32\wininit.exe,wininit.exe
376,360,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801981fb30,0x7fffffdf000,0x0,0x73fbf000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
412,360,0,winlogon.exe,winlogon.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a4075f0,0x7fffffdb000,0x0,0x727c5000,0x0,C:\Windows\system32\winlogon.exe,\Device\HarddiskVolume2\Windows\System32\winlogon.exe,winlogon.exe
460,832,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 16:15:34",,0,0xfffffa801af9fb30,0x7fffffdf000,0x0,0x18066000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
472,368,0,services.exe,services.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a3fa1c0,0x7fffffdb000,0x0,0x701d3000,0x0,C:\Windows\system32\services.exe,\Device\HarddiskVolume2\Windows\System32\services.exe,C:\Windows\system32\services.exe
480,368,0,lsass.exe,lsass.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a447b30,0x7fffffdf000,0x0,0x708f5000,0x0,C:\Windows\system32\lsass.exe,\Device\HarddiskVolume2\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe
